id,byear,H1a,pre-industrialized society,political event,personal youth,anti-europe,pre-industrialized society,nationalism,solidar society,pre-polarized society,colonialism,sports event
R_07hdvtpkxRPVVHH,1956,Provo,personal youth,,0,0,0,0,1,0,0,0
R_08KdzxOZMIvVZ9T,1952,"Ik verlang niet terug, Ik denk dat er beter naar elkaar geluisterd moet worden en dat het land niet moet worden opgezadeld met Europese besluiten die voor Nederland eigenlijk onuitvoerbaar zijn. De vastlegging van natura 2000 gebieden breekt ons nu op, omdat Nederland een dicht bevolkt land is daarnaast zijn sommige partijen roomser dan de paus",anti-europe,,0,1,0,0,0,1,0,0
R_0cU3HtuzIAK08TL,1971,1988,personal youth,,1,0,0,0,0,0,0,0
R_0e67oU4HRcMasWl,1941,Doe ik niet aan,NA,,,,,,,,,
R_0eqVbnidDjwaXJv,1990,Niet,NA,,,,,,,,,
R_0GSYBFLdyJXb4Mp,1945,weet ik niet.,NA,,,,,,,,,
R_0jsMHgiZ9xhtUMV,1964,jaren 80,personal youth,,1,0,0,0,1,0,0,0
R_0N8Aj28t4c9xIlP,1953,jaren zestig,personal youth,,1,0,0,0,1,0,0,0
R_0pIQMNRQWxn8Yx3,1950,Naar de toekomst,NA,,,,,,,,,
R_0UPdn3RPYVbJUB3,1972,Jaren 80,personal youth,,1,0,0,0,1,0,0,0
R_0UR87rHp7dzY9CV,1952,De jaren 70!,personal youth,,1,0,0,0,1,0,0,0
R_10A9HKdNbt58jKU,1965,Jaren 70.,personal youth,,1,0,0,0,1,0,0,0
R_10BmvtTM52gcvgX,1959,,NA,,,,,,,,,
R_10Co4n7VmtzERMF,1961,momenten na een catastrofe dan is iedereen samen aan het werken maar dan moet je niet aan politiek doen maar eensgezind de schouders eronder zetten om alles weer op te bouwen,solidar society,,0,0,0,0,1,1,0,0
R_10GVR9XBFGF5rTd,1951,toen mr de uil erzat,solidar society,1,0,0,0,0,1,0,0,0
R_10JxDbeLLpYzNQZ,1988,Geen idee; misschien de jaren ‘30,nationalism,,0,0,1,1,0,0,0,0
R_10NNbZT0wszujsF,1962,Jaren 90.,pre-polarized society,,0,0,0,0,0,1,0,0
R_10pggqiBoIHi4U4,1945,De samenleving na de bevrijding in 1945,solidar society,1,0,0,0,0,1,0,0,0
R_10PqwFpacrrS9v2,1951,1968,personal youth,,1,0,0,0,0,0,0,0
R_10qGsuFnptF2wli,1969,De jaren 90,pre-polarized society,,1,0,0,0,0,1,0,0
R_10Tx3pLQIMeLniE,1991,,NA,,,,,,,,,
R_10Txq6W7TrvNKPn,1969,,NA,,,,,,,,,
R_10udQ6MrdKALnUE,1977,,NA,,,,,,,,,
R_10Ulh0dXh7JOqVQ,2000,Geen enkel.,NA,,,,,,,,,
R_10vYHrJkzNjOZFd,1944,"De jaren 50, 60 en 70, tijden van relatieve soberheid",personal youth,,1,0,1,0,1,0,0,0
R_10xcymltU2ZQZRm,1971,"De jaren '50- '80.
In die tijd was er meer cohesie in de samenleving. 
In 'mijn' jaren '80 was ik trots op dit land.
Dat ben ik helaas nu al lang niet meer.
Nederland is haar Nederlandse identiteit verloren.
We moeten verplicht een 'multi-culti-cultuur' worden en dat staat mij volledig niet aan.",pre-polarized society,,1,0,0,1,1,1,0,0
R_10Zpp0teqydwXE7,1962,Niet terug kijken vooruit moeten we,NA,,,,,,,,,
R_10Zx4kUDxJzHCdT,1970,Nvt,NA,,,,,,,,,
R_115dsA1ZeyhwVB1,1965,Naar de tijd dat er geen socialmedia bestond. Dat mensen respect voor elkaar hadden. En dat de Europese Unie niet zoveel te vertellen had in nederland,pre-polarized society,,0,1,0,1,0,1,0,0
R_117OAmIUo3tOVbs,1983,Ik ben geen boomer.,NA,,,,,,,,,
R_11iK60XRHuB8dz2,1996,"Geen idee, iedere tijd heeft wat moois en wat niet moois.",NA,,,,,,,,,
R_11iKALe0zshVtcy,1939,"naar geen enkel moment. wat geweest is, is geweest",NA,,,,,,,,,
R_11j3NExkKc6ofMD,1953,2019,pre-polarized society,,0,0,0,0,0,1,0,0
R_11YZtlXG0T2vL75,1989,Jaren '00 voor de crisis,pre-polarized society,,1,0,0,0,0,1,0,0
R_125sfBKpUUSRjzw,1950,De tijd dat je je deur nog gewoon open kon laten staan n er maar een klein aantal politieke partijen waren.,solidar society,,1,0,0,0,1,1,0,0
R_126a7pMkL22Jr5Y,1945,Invoering AOW,solidar society,,0,0,0,0,1,0,0,0
R_12At6luE6XGcICB,1963,jaren  70,personal youth,,1,0,0,0,1,0,0,0
R_12b4CNia9ub6RQd,1953,16-12-1953,personal youth,,1,0,0,0,0,0,0,0
R_12ba0DFRDpMVyBU,1960,Jaren 80,personal youth,,1,0,0,0,1,0,0,0
R_12EwSdiSAtz9uTt,1966,,NA,,,,,,,,,
R_12Fl4VzA18MYawp,1968,1988 geen kwartje van kok.,solidar society,1,0,0,0,0,1,1,0,0
R_12GfIb8TLEw4Xiq,1946,Geen,NA,,,,,,,,,
R_12hbkJO5tfeRQy3,1960,Periode voor 9-11,pre-polarized society,1,0,0,0,0,0,1,0,0
R_12hwg84k13056i3,1965,"Toen het normaal was om je eige mening te mogen zeggen zonder zogenaamd ""politiek correct "" te zijn .",pre-polarized society,,0,0,0,0,0,1,0,0
R_12ijRnzNwGcnljy,1948,Vrijlating Mandela/afschaffing Apartheid,pre-polarized society,1,0,0,0,0,1,0,0,0
R_12J91GtXlva0Kq6,1972,Jaren 50,solidar society,,0,0,1,0,1,0,0,0
R_12kTemeT4gerMkn,1965,Voor 2000,pre-polarized society,,0,0,0,0,0,1,0,0
R_12lFrJuuYkt8nFf,1946,de val van de muur in 1989,solidar society,1,0,0,0,0,1,1,0,0
R_12LOf55DTMLnpRq,1958," De jaren zeventig, wederopbouw van Nederland was een mooie tijd. 
Daarnaast kenden de NUTS bedrijven toen geen ""marktwerking"" en waren ze in handen van de overheid. Wat mij betreft mag dit zo snel als mogelijk terugkeren.",solidar society,1,1,0,0,0,1,0,0,0
R_12lr6IuBG0awakY,1999,Voordat ik depressief werd,personal youth,,1,0,0,0,0,0,0,0
R_12QIkAMHdcWdVVd,1952,,NA,,,,,,,,,
